Index,Gene
396,AGFG1
397,AGFG2
398,AGGF1
399,AGK
400,AGL
401,AGMAT
402,AGMO
403,AGO1
404,AGO2
405,AGO3
406,AGO4
407,AGPAT1
408,AGPAT2
409,AGPAT3
410,AGPAT4
411,AGPAT5
412,AGPAT6
413,AGPAT9
414,AGPS
415,AGR2
416,AGR3
417,AGRN
418,AGRP
419,AGT
420,AGTPBP1
421,AGTR1
422,AGTR2
423,AGTRAP
424,AGXT
425,AGXT2
426,AHCTF1
427,AHCY
428,AHCYL1
429,AHCYL2
430,AHDC1
431,AHI1
432,AHNAK
433,AHNAK2
434,AHR
435,AHRR
436,AHSA1
437,AHSA2
438,AHSG
439,AHSP
440,AICDA
441,AIDA
442,AIF1
443,AIF1L
444,AIFM1
445,AIFM2
446,AIFM3
447,AIG1
448,AIM1
449,AIM1L
450,AIM2
451,AIMP1
452,AIMP2
453,AIP
454,AIPL1
455,AIRE
456,AJAP1
457,AJUBA
458,AK1
459,AK2
460,AK3
461,AK4
462,AK5
463,AK7
464,AK8
465,AK9
466,AKAP1
467,AKAP10
468,AKAP11
469,AKAP12
470,AKAP13
471,AKAP14
472,AKAP17A
473,AKAP2
474,AKAP3
475,AKAP4
476,AKAP5
477,AKAP6
478,AKAP7
479,AKAP8
480,AKAP8L
481,AKAP9
482,AKIP1
483,AKIRIN1
484,AKIRIN2
485,AKNA
486,AKNAD1
487,AKR1A1
488,AKR1B1
489,AKR1B10
490,AKR1B15
491,AKR1C1
492,AKR1C2
493,AKR1C3
494,AKR1C4
495,AKR1D1
496,AKR1E2
497,AKR7A2
498,AKR7A3
499,AKT1
500,AKT1S1
501,AKT2
502,AKT3
503,AKTIP
504,AL021546.6
505,ALAD
506,ALAS1
507,ALAS2
508,ALB
509,ALCAM
510,ALDH16A1
511,ALDH18A1
512,ALDH1A1
513,ALDH1A2
514,ALDH1A3
515,ALDH1B1
516,ALDH1L1
517,ALDH1L2
518,ALDH2
519,ALDH3A1
520,ALDH3A2
521,ALDH3B1
522,ALDH3B2
523,ALDH4A1
524,ALDH5A1
525,ALDH6A1
526,ALDH7A1
527,ALDH8A1
528,ALDH9A1
529,ALDOA
530,ALDOB
531,ALDOC
532,ALG1
533,ALG10
534,ALG10B
535,ALG11
536,ALG12
537,ALG13
538,ALG14
539,ALG1L
540,ALG1L2
541,ALG2
542,ALG3
543,ALG5
544,ALG6
545,ALG8
546,ALG9
547,ALK
548,ALKBH1
549,ALKBH2
550,ALKBH3
551,ALKBH4
552,ALKBH5
553,ALKBH6
554,ALKBH7
555,ALKBH8
556,ALLC
557,ALMS1
558,ALOX12
559,ALOX12B
560,ALOX15
561,ALOX15B
562,ALOX5
563,ALOX5AP
564,ALOXE3
565,ALPI
566,ALPK1
567,ALPK2
568,ALPK3
569,ALPL
570,ALPP
571,ALPPL2
572,ALS2
573,ALS2CL
574,ALS2CR11
575,ALS2CR12
576,ALX1
577,ALX3
578,ALX4
579,ALYREF
580,AMACR
581,AMBN
582,AMBP
583,AMBRA1
584,AMD1
585,AMDHD1
586,AMDHD2
587,AMELX
588,AMELY
589,AMER1
590,AMER2
591,AMER3
592,AMFR
593,AMH
594,AMHR2
595,AMICA1
596,AMIGO1
597,AMIGO2
598,AMIGO3
599,AMMECR1
600,AMMECR1L
601,AMN
602,AMN1
603,AMOT
604,AMOTL1
605,AMOTL2
606,AMPD1
607,AMPD2
608,AMPD3
609,AMPH
610,AMT
611,AMTN
612,AMY1A
613,AMY1B
614,AMY1C
615,AMY2A
616,AMY2B
617,AMZ1
618,AMZ2
619,ANAPC1
620,ANAPC10
621,ANAPC11
622,ANAPC13
623,ANAPC15
624,ANAPC16
625,ANAPC2
626,ANAPC4
627,ANAPC5
628,ANAPC7
629,ANG
630,ANGEL1
631,ANGEL2
632,ANGPT1
633,ANGPT2
634,ANGPT4
635,ANGPTL1
636,ANGPTL2
637,ANGPTL3
638,ANGPTL4
639,ANGPTL5
640,ANGPTL6
641,ANGPTL7
642,ANHX
643,ANK1
644,ANK2
645,ANK3
646,ANKAR
647,ANKDD1A
648,ANKDD1B
649,ANKEF1
650,ANKFN1
651,ANKFY1
652,ANKH
653,ANKHD1
654,ANKHD1-EIF4EBP3
655,ANKIB1
656,ANKK1
657,ANKLE1
658,ANKLE2
659,ANKMY1
660,ANKMY2
661,ANKRA2
662,ANKRD1
663,ANKRD10
664,ANKRD11
665,ANKRD12
666,ANKRD13A
667,ANKRD13B
668,ANKRD13C
669,ANKRD13D
670,ANKRD16
671,ANKRD17
672,ANKRD18A
673,ANKRD18B
674,ANKRD2
675,ANKRD20A1
676,ANKRD20A2
677,ANKRD20A3
678,ANKRD20A4
679,ANKRD22
680,ANKRD23
681,ANKRD24
682,ANKRD26
683,ANKRD27
684,ANKRD28
685,ANKRD29
686,ANKRD30A
687,ANKRD30B
688,ANKRD30BL
689,ANKRD31
690,ANKRD32
691,ANKRD33
692,ANKRD33B
693,ANKRD34A
694,ANKRD34B
695,ANKRD34C
696,ANKRD35
697,ANKRD36
698,ANKRD36B
699,ANKRD36C
700,ANKRD37
701,ANKRD39
702,ANKRD40
703,ANKRD42
704,ANKRD44
705,ANKRD45
706,ANKRD46
707,ANKRD49
708,ANKRD50
709,ANKRD52
710,ANKRD53
711,ANKRD54
712,ANKRD55
713,ANKRD6
714,ANKRD60
715,ANKRD61
716,ANKRD62
717,ANKRD63
718,ANKRD65
719,ANKRD66
720,ANKRD7
721,ANKRD9
722,ANKS1A
723,ANKS1B
724,ANKS3
725,ANKS4B
726,ANKS6
727,ANKUB1
728,ANKZF1
729,ANLN
730,ANO1
731,ANO10
732,ANO2
733,ANO3
734,ANO4
735,ANO5
736,ANO6
737,ANO7
738,ANO8
739,ANO9
740,ANP32A
741,ANP32B
742,ANP32D
743,ANP32E
744,ANPEP
745,ANTXR1
746,ANTXR2
747,ANTXRL
748,ANXA1
749,ANXA10
750,ANXA11
751,ANXA13
752,ANXA2
753,ANXA2R
754,ANXA3
755,ANXA4
756,ANXA5
757,ANXA6
758,ANXA7
759,ANXA8
760,ANXA8L1
761,ANXA9
762,AOAH
763,AOC1
764,AOC2
765,AOC3
766,AOX1
767,AP000275.65
768,AP000295.9
769,AP000304.12
770,AP000322.53
771,AP000350.10
772,AP000721.4
773,AP003419.11
774,AP1AR
775,AP1B1
776,AP1G1
777,AP1G2
778,AP1M1
779,AP1M2
780,AP1S1
781,AP1S2
782,AP1S3
783,AP2A1
784,AP2A2
785,AP2B1
786,AP2M1
787,AP2S1
788,AP3B1
789,AP3B2
790,AP3D1
791,AP3M1
792,AP3M2
793,AP3S1
794,AP3S2
795,AP4B1
796,AP4E1
797,AP4M1
798,AP4S1
799,AP5B1
800,AP5M1
801,AP5S1
802,AP5Z1
803,APAF1
804,APBA1
805,APBA2
806,APBA3
807,APBB1
808,APBB1IP
809,APBB2
810,APBB3
811,APC
812,APC2
813,APCDD1
814,APCDD1L
815,APCS
816,APEH
817,APELA
818,APEX1
819,APEX2
820,APH1A
821,APH1B
822,API5
823,APIP
824,APITD1
825,APITD1-CORT
826,APLF
827,APLN
828,APLNR
829,APLP1
830,APLP2
831,APMAP
832,APOA1
833,APOA1BP
834,APOA2
835,APOA4
836,APOA5
837,APOB
838,APOBEC1
839,APOBEC2
840,APOBEC3A
841,APOBEC3B
842,APOBEC3C
843,APOBEC3D
844,APOBEC3F
845,APOBEC3G
846,APOBEC3H
847,APOBEC4
848,APOBR
849,APOC1
850,APOC2
851,APOC3
852,APOC4
853,APOC4-APOC2
854,APOD
855,APOE
856,APOF
857,APOH
858,APOL1
859,APOL2
860,APOL3
861,APOL4
862,APOL5
863,APOL6
864,APOLD1
865,APOM
866,APOO
867,APOOL
868,APOPT1
869,APP
